id,route,warehouse,delivery_time,delay_minutes,delay_reason,date
598,H,WH4,1,26,Traffic,2024-12-28
599,F,WH2,2,4,Mechanical,2024-09-04
600,E,WH2,6,89,Mechanical,2024-05-21
601,A,WH1,2,113,Mechanical,2025-04-15
602,A,WH3,5,51,None,2024-06-03
603,F,WH2,6,65,Weather,2025-11-16
604,F,WH4,9,54,None,2025-10-14
605,I,WH2,7,69,None,2025-05-13
606,J,WH2,8,77,None,2024-06-23
607,A,WH3,3,44,Mechanical,2025-11-08
608,G,WH2,1,93,None,2024-06-05
609,F,WH3,10,55,None,2025-12-25
610,D,WH4,10,116,Weather,2024-08-12
611,H,WH4,7,96,Traffic,2024-12-10
612,J,WH2,10,88,Mechanical,2024-12-28
613,J,WH2,7,101,None,2025-03-04
614,I,WH1,1,65,None,2025-06-24
615,G,WH2,7,55,Mechanical,2024-05-25
616,C,WH2,2,51,Traffic,2025-03-31
617,F,WH1,3,42,Weather,2025-09-18
618,G,WH3,6,12,Mechanical,2025-09-02
619,F,WH3,1,36,Mechanical,2024-04-24
620,I,WH3,3,29,Weather,2024-07-25
621,H,WH2,9,107,Weather,2025-10-27
622,D,WH4,2,36,Mechanical,2024-01-27
623,J,WH3,2,65,None,2024-12-11
624,E,WH4,2,67,Weather,2024-10-17
625,J,WH1,6,91,Traffic,2025-06-23
626,D,WH3,3,47,Mechanical,2025-03-27
627,E,WH3,5,16,Weather,2025-11-30
628,A,WH3,5,38,Weather,2024-05-13
629,H,WH3,7,114,Traffic,2024-01-15
630,D,WH3,5,10,None,2025-08-29
631,F,WH3,4,5,Traffic,2024-09-06
632,G,WH3,5,29,Mechanical,2024-08-25
633,H,WH2,10,102,Mechanical,2025-12-14
634,D,WH2,5,24,None,2024-12-23
635,I,WH1,2,11,None,2024-12-03
636,H,WH1,2,38,None,2025-04-26
637,B,WH3,6,119,None,2025-01-05
638,I,WH2,4,21,Weather,2025-07-09
639,E,WH2,8,44,Weather,2025-02-26
640,H,WH1,8,13,Mechanical,2024-03-27
641,D,WH4,3,61,Weather,2025-01-07
642,J,WH3,2,112,Mechanical,2025-11-12
643,A,WH3,4,100,Mechanical,2025-09-12
644,A,WH2,1,101,Mechanical,2025-12-21
645,E,WH2,10,77,Mechanical,2024-04-19
646,J,WH1,4,59,Mechanical,2025-01-06
647,G,WH1,5,35,None,2025-06-28
648,E,WH1,6,11,Mechanical,2024-03-05
649,I,WH2,1,103,None,2025-01-31
650,I,WH4,7,97,Weather,2025-10-11
651,B,WH2,4,69,Mechanical,2025-04-27
652,H,WH1,8,42,Traffic,2024-02-03
653,I,WH3,10,4,Traffic,2024-11-03
654,C,WH3,1,101,Weather,2025-12-04
655,A,WH1,7,19,Mechanical,2024-01-02
656,D,WH2,9,24,Mechanical,2025-12-14
657,I,WH1,8,14,Traffic,2025-07-29
658,I,WH4,7,46,None,2024-01-15
659,D,WH1,5,99,Mechanical,2024-06-28
660,C,WH3,7,14,Traffic,2025-07-29
661,E,WH2,6,28,Mechanical,2024-08-21
662,I,WH3,8,45,None,2025-11-24
663,B,WH4,9,103,Weather,2024-06-27
664,C,WH1,4,74,Weather,2025-03-15
665,F,WH4,9,11,Weather,2024-02-17
666,C,WH2,8,111,None,2024-03-06
667,I,WH1,7,105,Mechanical,2025-12-23
668,J,WH1,6,28,Traffic,2024-01-17
669,G,WH1,4,111,None,2025-09-15
670,F,WH3,10,80,None,2025-04-01
671,G,WH3,5,25,Weather,2024-06-19
672,A,WH3,9,58,Weather,2024-01-03
673,B,WH4,1,9,Mechanical,2025-07-07
674,F,WH3,5,116,Traffic,2025-11-05
675,A,WH4,5,72,Mechanical,2024-03-05
676,C,WH4,3,18,Weather,2025-03-04
677,D,WH1,10,83,Mechanical,2025-11-08
678,A,WH4,4,5,None,2025-11-14
679,A,WH4,8,33,None,2025-12-22
680,C,WH1,7,76,None,2025-07-18
681,J,WH4,1,100,None,2024-03-02
682,H,WH1,6,106,None,2024-01-18
683,G,WH1,10,9,Weather,2024-04-22
684,F,WH1,5,76,Weather,2025-02-09
685,J,WH2,2,22,None,2025-04-28
686,J,WH4,3,111,Weather,2025-02-14
687,A,WH3,3,107,None,2025-03-02
688,A,WH2,7,66,None,2025-06-20
689,H,WH2,8,52,Mechanical,2025-03-16
690,H,WH3,1,66,None,2024-10-25
691,H,WH4,1,52,Traffic,2024-07-27
692,E,WH2,5,51,Weather,2025-05-31
693,J,WH1,8,73,Mechanical,2025-01-28
694,E,WH1,3,89,Mechanical,2025-06-10
695,B,WH2,5,85,Weather,2025-06-25
696,B,WH3,6,115,Traffic,2025-10-20
697,D,WH2,7,65,None,2025-12-24
698,E,WH1,7,111,Weather,2024-02-04
699,F,WH4,6,91,Mechanical,2024-06-26
700,F,WH2,2,51,Traffic,2024-11-16
701,B,WH4,3,23,None,2024-08-16
702,G,WH2,4,49,Mechanical,2024-12-08
703,H,WH1,10,75,Traffic,2024-01-23
704,H,WH1,3,114,Mechanical,2025-09-04
705,F,WH3,2,53,Weather,2024-09-17
706,J,WH3,7,9,Mechanical,2025-05-08
707,G,WH3,8,62,Weather,2025-10-26
708,G,WH4,7,51,Weather,2024-09-22
709,J,WH1,9,41,None,2025-06-14
710,I,WH3,10,4,Mechanical,2024-11-25
711,I,WH2,1,119,Mechanical,2025-06-27
712,E,WH3,8,8,Traffic,2025-06-22
713,H,WH4,7,99,Weather,2024-01-13
714,J,WH4,8,63,Traffic,2024-09-23
715,C,WH4,6,36,Traffic,2024-05-15
716,F,WH1,6,13,Traffic,2024-04-27
717,C,WH4,4,62,None,2025-07-10
718,J,WH2,10,15,Weather,2025-06-14
719,G,WH2,10,69,Traffic,2025-05-03
720,E,WH1,5,93,Weather,2024-10-16
721,D,WH3,8,11,Traffic,2025-06-14
722,G,WH1,4,110,None,2024-07-12
723,I,WH1,7,24,Traffic,2024-06-16
724,I,WH4,8,119,None,2024-02-04
725,H,WH4,1,28,Weather,2025-02-22
726,G,WH1,6,115,Mechanical,2025-10-01
727,G,WH4,2,119,Mechanical,2025-06-01
728,G,WH1,8,41,Mechanical,2025-07-25
729,A,WH2,2,46,Traffic,2025-11-07
730,I,WH1,7,93,None,2025-07-28
731,A,WH3,1,90,None,2024-06-01
732,J,WH4,4,88,Traffic,2024-08-12
733,H,WH3,8,82,Traffic,2024-12-28
734,A,WH1,9,114,Traffic,2025-08-15
735,D,WH1,2,46,Weather,2025-10-18
736,B,WH4,10,25,None,2025-05-10
737,B,WH2,8,95,None,2025-09-10
738,D,WH3,10,24,Traffic,2025-11-30
739,G,WH1,5,107,Weather,2024-01-03
740,A,WH1,1,76,None,2025-08-28
741,H,WH1,2,7,None,2024-08-15
742,G,WH3,8,63,Traffic,2025-05-19
743,F,WH4,7,74,Weather,2025-02-02
744,A,WH3,9,105,Mechanical,2025-11-23
745,H,WH3,3,119,Traffic,2025-01-23
746,I,WH2,6,116,Traffic,2025-06-17
747,A,WH2,9,105,Traffic,2024-04-04
748,E,WH4,8,59,Traffic,2024-11-09
749,J,WH4,6,29,Weather,2024-08-19
750,E,WH2,3,95,Weather,2024-01-04
751,F,WH4,4,73,None,2025-06-11
752,E,WH3,10,118,None,2025-10-31
753,F,WH1,4,26,Mechanical,2025-04-06
754,D,WH3,3,43,None,2024-05-08
755,E,WH4,4,0,None,2024-04-25
756,G,WH4,3,61,Mechanical,2024-04-16
757,A,WH4,5,101,Weather,2024-06-03
758,D,WH1,4,56,Mechanical,2024-07-23
759,B,WH3,3,110,None,2024-07-01
760,B,WH2,1,113,None,2025-06-30
761,H,WH2,1,110,None,2024-02-10
762,G,WH1,9,77,Traffic,2024-01-18
763,I,WH2,7,91,Weather,2025-11-09
764,F,WH1,4,48,Weather,2025-02-19
765,F,WH4,2,120,Mechanical,2024-08-23
766,E,WH3,2,72,None,2025-06-15
767,J,WH4,10,81,Mechanical,2024-05-04
768,I,WH2,10,30,Mechanical,2024-03-25
769,A,WH4,10,120,Weather,2024-10-30
770,A,WH2,2,44,None,2024-07-19
771,I,WH4,1,89,None,2024-09-12
772,D,WH3,8,18,Mechanical,2024-01-09
773,A,WH3,2,55,Weather,2024-11-13
774,E,WH4,7,74,None,2024-10-20
775,B,WH2,10,17,Weather,2024-03-26
776,F,WH3,9,105,Weather,2025-10-04
777,I,WH1,9,79,Weather,2024-05-20
778,I,WH2,7,5,Weather,2025-11-15
779,I,WH4,9,48,Traffic,2025-09-04
780,A,WH4,10,52,Mechanical,2024-11-10
781,F,WH4,7,38,Mechanical,2025-07-18
782,E,WH1,3,87,None,2025-12-02
783,I,WH1,8,52,Traffic,2024-08-10
784,A,WH2,1,18,Traffic,2024-03-23
785,J,WH2,4,91,None,2024-12-27
786,D,WH2,4,11,Traffic,2024-11-15
787,E,WH1,8,37,None,2024-09-25
788,G,WH4,5,31,Mechanical,2024-07-02
789,A,WH2,5,34,Weather,2025-06-05
790,H,WH1,9,100,Mechanical,2024-04-17
791,B,WH4,3,4,Mechanical,2024-09-16
792,J,WH2,8,91,Traffic,2025-09-08
793,C,WH2,8,1,None,2024-08-27
794,F,WH1,6,92,None,2025-02-27
795,F,WH3,4,1,Mechanical,2024-11-05
796,C,WH3,4,103,Mechanical,2024-10-26
797,D,WH1,1,102,Mechanical,2024-09-26
798,E,WH3,9,27,Weather,2024-09-24
799,J,WH4,9,45,None,2024-11-03
800,G,WH3,6,25,Weather,2024-11-15
801,G,WH2,6,39,Weather,2025-06-08
802,J,WH4,7,32,Weather,2024-12-04
803,B,WH4,9,66,Traffic,2025-11-06
804,F,WH1,1,106,Traffic,2024-09-14
805,H,WH2,3,13,Weather,2025-03-29
806,A,WH2,7,54,Traffic,2024-10-19
807,G,WH4,7,7,Weather,2025-10-31
808,B,WH3,3,54,None,2025-10-17
809,F,WH4,1,40,Mechanical,2024-12-24
810,H,WH4,7,67,Traffic,2024-08-20
811,E,WH3,3,24,Weather,2025-10-18
812,D,WH3,10,24,Weather,2024-04-22
813,A,WH4,2,19,Weather,2025-02-14
814,I,WH2,10,47,None,2024-03-04
815,B,WH4,8,115,Traffic,2024-11-09
816,A,WH3,9,105,Traffic,2025-11-29
817,E,WH4,7,39,None,2024-01-08
818,A,WH4,5,42,None,2025-03-12
819,I,WH3,8,80,Weather,2024-09-01
820,A,WH1,7,75,Traffic,2024-10-22
821,J,WH2,8,16,Traffic,2024-01-22
822,G,WH2,9,49,Weather,2025-01-04
823,J,WH4,3,75,None,2025-09-04
824,D,WH4,7,27,Traffic,2024-10-02
825,D,WH1,7,103,None,2024-05-29
826,B,WH1,10,13,None,2024-01-29
827,E,WH1,4,13,Traffic,2025-08-14
828,G,WH1,10,47,Weather,2025-04-13
829,G,WH2,2,99,Weather,2024-02-17
830,G,WH2,9,6,Traffic,2024-05-19
831,F,WH1,2,50,None,2024-01-07
832,G,WH2,5,86,None,2025-02-17
833,D,WH1,1,87,None,2024-09-06
834,G,WH4,2,110,Traffic,2024-01-14
835,J,WH3,2,18,Weather,2025-02-22
836,J,WH2,2,90,Traffic,2025-10-08
837,E,WH2,8,6,Traffic,2025-01-28
838,G,WH3,3,118,None,2025-07-13
839,J,WH4,8,29,Weather,2024-05-22
840,B,WH3,10,41,Traffic,2024-07-30
841,H,WH4,7,103,Weather,2025-04-08
842,D,WH2,5,12,Traffic,2025-08-22
843,E,WH2,2,78,Traffic,2024-08-30
844,I,WH2,3,35,Mechanical,2025-06-23
845,D,WH2,6,13,Mechanical,2024-06-21
846,A,WH3,10,73,Mechanical,2025-11-15
847,J,WH3,8,21,Weather,2024-12-07
848,A,WH3,9,27,None,2025-05-25
849,C,WH4,2,25,Weather,2025-10-05
850,I,WH4,10,38,None,2024-09-08
851,B,WH3,7,58,Weather,2025-09-11
852,B,WH2,4,74,None,2024-07-17
853,B,WH1,2,109,Weather,2025-12-07
854,J,WH4,9,86,None,2025-08-09
855,A,WH4,6,9,Mechanical,2025-05-04
856,H,WH3,2,22,Mechanical,2025-08-04
857,A,WH2,8,61,Mechanical,2025-03-01
858,G,WH4,2,11,Traffic,2025-07-09
859,D,WH3,5,116,Mechanical,2025-06-03
860,E,WH2,10,111,Weather,2024-11-18
861,B,WH1,1,76,Weather,2025-05-29
862,J,WH1,1,103,Weather,2024-11-12
863,I,WH2,9,43,Weather,2024-09-29
864,C,WH3,6,30,Mechanical,2025-01-28
865,H,WH4,8,107,None,2024-08-26
866,G,WH3,9,99,Weather,2025-06-13
867,E,WH2,3,90,Traffic,2024-01-31
868,A,WH1,1,54,Traffic,2025-07-14
869,I,WH2,10,105,Weather,2025-04-12
870,D,WH2,3,70,Traffic,2025-11-08
871,J,WH3,1,51,Mechanical,2024-10-24
872,I,WH2,9,116,Traffic,2025-07-21
873,H,WH3,8,112,Mechanical,2024-08-21
874,D,WH3,1,108,Traffic,2025-04-24
875,J,WH1,5,18,Mechanical,2025-03-17
876,G,WH3,6,91,None,2024-06-10
877,F,WH4,9,15,Weather,2024-11-01
878,B,WH2,8,26,Traffic,2025-07-16
879,D,WH2,8,52,Weather,2025-11-09
880,E,WH1,8,45,Weather,2024-12-08
881,B,WH1,8,1,Traffic,2024-12-24
882,F,WH1,6,4,Weather,2024-12-16
883,B,WH3,2,44,Mechanical,2024-12-31
884,A,WH4,7,105,None,2024-10-06
885,E,WH2,3,24,Weather,2024-09-18
886,B,WH3,4,29,Traffic,2025-02-23
887,A,WH2,10,109,Weather,2024-06-13
888,I,WH3,10,54,Weather,2024-10-09
889,A,WH1,2,42,Traffic,2025-08-09
890,C,WH1,1,61,Traffic,2024-09-28
891,D,WH4,6,116,Traffic,2025-12-16
892,C,WH2,7,22,Weather,2025-03-15
893,I,WH2,10,120,Weather,2025-04-07
894,J,WH1,5,70,None,2024-12-27
895,J,WH2,1,85,None,2025-05-02
896,J,WH4,2,76,None,2024-04-26
897,J,WH1,2,15,Mechanical,2024-05-19
898,B,WH1,7,106,Weather,2025-04-12
899,H,WH3,2,23,Weather,2025-09-12
900,G,WH4,1,102,None,2024-01-09
901,E,WH4,5,117,Weather,2025-09-28
902,J,WH2,4,5,Traffic,2024-04-07
903,D,WH4,8,61,Mechanical,2025-01-19
904,J,WH1,8,63,Traffic,2025-01-01
905,F,WH1,7,107,Weather,2025-12-11
906,J,WH1,6,29,Mechanical,2025-06-18
907,H,WH1,7,79,Traffic,2025-02-16
908,F,WH4,3,81,None,2024-12-11
909,C,WH3,9,104,None,2024-04-10
910,A,WH1,2,26,None,2024-11-30
911,J,WH1,10,4,None,2025-01-25
912,D,WH2,9,26,Traffic,2024-04-23
913,H,WH3,2,27,Traffic,2024-07-10
914,B,WH2,6,47,None,2025-05-18
915,J,WH1,5,59,None,2025-03-22
916,I,WH2,1,87,None,2025-10-21
917,F,WH2,7,22,Mechanical,2024-06-13
918,H,WH1,8,44,None,2025-10-09
919,I,WH3,8,95,Weather,2025-08-26
920,A,WH2,5,59,Traffic,2025-05-11
921,C,WH3,3,34,None,2025-08-28
922,A,WH3,5,115,Mechanical,2025-01-22
923,G,WH1,6,46,Traffic,2025-06-04
924,G,WH1,4,42,Traffic,2024-04-25
925,E,WH3,6,11,Traffic,2024-12-01
926,G,WH3,6,95,Mechanical,2024-03-09
927,D,WH1,1,64,Traffic,2025-10-25
928,C,WH1,9,91,Weather,2025-07-19
929,E,WH4,5,10,Mechanical,2024-09-29
930,I,WH4,7,71,None,2024-02-09
931,A,WH3,4,30,Mechanical,2024-06-01
932,G,WH3,10,98,Traffic,2024-12-06
933,D,WH4,2,111,None,2024-12-18
934,E,WH3,3,55,Traffic,2025-08-15
935,H,WH3,4,109,None,2024-04-19
936,D,WH1,8,102,Mechanical,2024-04-14
937,E,WH4,1,47,Mechanical,2025-06-09
938,B,WH2,5,1,Mechanical,2025-10-13
939,I,WH4,7,70,None,2025-04-15
940,A,WH4,6,32,None,2024-11-14
941,J,WH4,7,16,Traffic,2024-12-09
942,G,WH1,1,9,Traffic,2025-12-31
943,A,WH4,10,107,None,2024-09-07
944,H,WH3,8,76,Weather,2024-05-04
945,B,WH1,5,1,Weather,2024-01-18
946,C,WH2,7,23,Mechanical,2024-08-03
947,D,WH1,9,47,Weather,2024-12-24
948,H,WH3,7,21,Traffic,2024-12-07
949,E,WH1,10,89,Weather,2025-12-29
950,A,WH4,9,6,Traffic,2024-01-04
951,H,WH4,4,29,Mechanical,2025-08-01
952,D,WH2,5,67,None,2024-11-25
953,G,WH2,5,6,Mechanical,2024-07-20
954,B,WH3,4,83,None,2025-02-23
955,C,WH3,9,84,Traffic,2024-04-23
956,E,WH1,7,117,Traffic,2025-03-30
957,G,WH3,7,17,Traffic,2025-03-10
958,J,WH1,4,28,Mechanical,2024-12-09
959,J,WH2,1,104,Weather,2025-05-18
960,B,WH3,1,5,Mechanical,2024-11-20
961,J,WH4,8,109,None,2024-05-02
962,I,WH2,8,100,Traffic,2024-12-18
963,E,WH4,7,30,Traffic,2024-10-03
964,B,WH1,8,18,Traffic,2025-02-25
965,G,WH4,4,67,Weather,2025-04-06
966,C,WH2,1,107,None,2024-06-23
967,F,WH2,2,105,Traffic,2025-06-01
968,A,WH2,6,49,None,2024-08-07
969,F,WH4,1,93,Weather,2025-03-15
970,A,WH3,6,60,Traffic,2025-11-12
971,I,WH2,2,116,Mechanical,2025-02-02
972,G,WH4,5,42,None,2024-04-22
973,E,WH2,8,96,None,2024-07-20
974,H,WH1,8,95,Mechanical,2024-07-14
975,A,WH2,9,69,None,2024-09-16
976,C,WH1,8,93,Mechanical,2025-05-16
977,C,WH1,3,2,Mechanical,2024-09-18
978,C,WH2,7,44,Mechanical,2024-08-22
979,C,WH1,6,43,Weather,2024-07-02
980,F,WH2,4,25,Traffic,2024-07-08
981,I,WH2,10,98,Weather,2024-09-06
982,E,WH4,3,104,Mechanical,2024-12-13
983,C,WH2,6,40,Traffic,2025-10-23
984,H,WH4,10,63,None,2025-12-27
985,J,WH2,8,24,Weather,2025-06-08
986,A,WH2,6,95,None,2024-07-17
987,G,WH1,4,34,Mechanical,2025-06-07
988,H,WH4,7,114,Weather,2025-09-17
989,A,WH4,4,89,Weather,2024-01-25
990,C,WH2,5,71,Traffic,2025-06-17
991,J,WH1,9,91,Mechanical,2025-05-02
992,F,WH1,6,115,None,2025-12-18
993,F,WH1,4,107,Traffic,2025-05-08
994,A,WH2,3,54,Weather,2025-10-10
995,G,WH2,10,60,Traffic,2025-06-30
996,J,WH2,4,39,None,2024-08-25
997,J,WH1,1,28,Mechanical,2025-06-02
998,E,WH1,6,78,Mechanical,2025-12-10
999,E,WH2,3,67,Mechanical,2024-09-21
1000,F,WH2,9,46,Mechanical,2024-08-15
1001,C,WH4,6,104,Mechanical,2025-02-24
1002,D,WH2,2,108,Traffic,2025-10-18
1003,C,WH3,10,43,Mechanical,2024-10-09
1004,H,WH4,8,3,Mechanical,2025-06-21
1005,F,WH2,7,15,None,2024-04-23
1006,D,WH4,9,99,None,2025-04-25
1007,G,WH3,3,7,Weather,2025-04-11
1008,C,WH2,2,81,None,2024-09-07
1009,G,WH1,3,75,Weather,2025-10-29
1010,B,WH1,2,45,Traffic,2025-04-29
1011,H,WH3,10,99,None,2024-07-13
1012,J,WH1,8,72,Weather,2024-06-23
1013,B,WH4,7,115,Weather,2024-02-29
1014,J,WH1,8,6,Mechanical,2024-05-12
1015,B,WH1,1,34,None,2024-05-09
1016,H,WH1,3,44,Weather,2025-09-11
1017,D,WH3,9,80,None,2025-07-12
1018,H,WH2,6,99,None,2024-04-29
1019,J,WH1,6,3,Traffic,2025-01-21
1020,B,WH4,4,59,Traffic,2024-02-26
1021,C,WH2,1,14,Traffic,2025-05-26
1022,G,WH4,10,40,None,2025-12-29
1023,J,WH3,4,95,Weather,2024-03-14
1024,D,WH3,2,6,None,2024-03-11
1025,H,WH2,4,7,Traffic,2025-07-17
1026,E,WH2,10,100,None,2025-10-12
1027,G,WH3,2,109,Traffic,2024-05-27
1028,H,WH4,2,56,Traffic,2024-09-11
1029,E,WH4,2,6,None,2025-04-01
1030,G,WH1,3,6,Traffic,2024-11-24
1031,D,WH4,1,87,Mechanical,2025-02-05
1032,G,WH4,7,7,Mechanical,2024-07-08
1033,I,WH3,6,9,Mechanical,2024-01-25
1034,H,WH4,1,56,Weather,2024-02-01
1035,A,WH4,8,90,Traffic,2024-07-31
1036,C,WH3,8,82,None,2025-10-27
1037,H,WH2,3,5,Mechanical,2025-02-24
1038,A,WH1,5,8,None,2024-05-24
1039,H,WH3,10,3,None,2024-02-13
1040,I,WH1,1,88,None,2024-05-05
1041,C,WH2,8,67,None,2025-06-24
1042,G,WH3,6,12,None,2024-02-22
1043,A,WH2,2,70,None,2025-07-30
1044,J,WH2,8,15,Traffic,2024-05-03
1045,E,WH1,5,96,Mechanical,2024-08-13
1046,D,WH2,7,45,Weather,2024-04-26
1047,E,WH1,4,25,None,2024-12-16
1048,E,WH2,1,101,Mechanical,2025-02-01
1049,J,WH1,4,54,None,2024-01-21
1050,D,WH2,5,118,Mechanical,2024-06-25
1051,C,WH1,1,46,None,2025-08-20
1052,F,WH1,3,21,Mechanical,2025-06-03
1053,C,WH2,10,18,Weather,2025-09-26
1054,I,WH2,7,78,Weather,2024-09-30
1055,E,WH1,10,52,Traffic,2024-11-13
1056,I,WH1,4,4,Traffic,2025-01-19
1057,E,WH1,9,77,Traffic,2025-05-31
1058,B,WH2,1,61,Mechanical,2024-05-05
1059,D,WH3,9,20,Weather,2025-07-13
1060,F,WH2,7,89,Weather,2025-02-12
1061,A,WH1,2,98,Traffic,2025-01-06
1062,I,WH3,1,85,Weather,2025-01-16
1063,B,WH4,8,12,Mechanical,2025-03-26
1064,B,WH1,8,109,Traffic,2025-09-24
1065,B,WH1,2,34,Weather,2024-11-23
1066,D,WH4,5,36,None,2024-07-07
1067,B,WH1,6,114,Weather,2025-05-25
1068,J,WH3,10,88,Traffic,2024-10-20
1069,F,WH1,4,87,Weather,2025-08-17
1070,A,WH4,1,29,Weather,2025-04-23
1071,E,WH4,5,81,None,2025-06-19
1072,D,WH1,1,24,None,2025-03-06
1073,D,WH4,7,48,Weather,2024-06-15
1074,E,WH2,4,81,Traffic,2025-05-10
1075,E,WH2,7,38,Mechanical,2024-10-05
1076,D,WH2,1,99,Mechanical,2024-05-15
1077,G,WH4,6,24,Weather,2024-10-16
1078,J,WH3,2,85,None,2025-11-15
1079,E,WH1,8,54,None,2025-11-22
1080,I,WH3,10,97,None,2024-12-01
1081,F,WH4,7,4,Mechanical,2024-07-08
1082,B,WH1,3,37,Weather,2024-08-06
1083,H,WH4,9,101,Mechanical,2025-08-14
1084,B,WH4,6,20,None,2024-02-19
1085,E,WH1,4,116,Mechanical,2025-05-13
1086,G,WH3,7,31,Weather,2024-08-18
1087,E,WH3,6,48,Weather,2024-07-18
1088,H,WH3,4,58,Traffic,2025-02-12
1089,B,WH2,2,3,None,2024-09-26
1090,B,WH3,5,111,None,2025-11-14
1091,A,WH1,3,45,None,2024-04-19
1092,D,WH2,3,32,Mechanical,2024-08-30
1093,J,WH3,10,88,Mechanical,2025-01-08
1094,F,WH2,7,15,Traffic,2024-03-08
1095,A,WH1,7,114,Weather,2024-12-05
1096,A,WH1,4,60,None,2024-07-17
1097,J,WH2,6,7,None,2025-02-20
1098,D,WH2,4,4,Mechanical,2024-03-23
1099,H,WH1,5,111,Weather,2024-01-25
1100,E,WH2,9,112,None,2024-11-25
1101,G,WH2,4,49,Weather,2024-12-26
1102,A,WH3,9,64,Weather,2025-07-02
1103,D,WH2,4,102,Weather,2024-06-15
1104,J,WH4,8,120,Traffic,2024-12-12
1105,I,WH1,2,59,Mechanical,2024-08-22
1106,F,WH3,8,47,Traffic,2024-03-19
1107,C,WH1,4,63,None,2024-07-24
1108,J,WH4,4,41,Weather,2024-06-20
1109,B,WH3,3,13,Weather,2024-03-29
1110,I,WH3,10,61,Weather,2025-09-13
1111,H,WH4,6,33,Mechanical,2024-12-07
1112,J,WH3,10,16,None,2024-07-07
1113,A,WH3,8,58,Mechanical,2025-06-09
1114,D,WH1,10,106,Mechanical,2025-05-13
1115,F,WH3,3,55,Mechanical,2025-12-03
1116,F,WH4,7,62,Traffic,2024-06-15
1117,D,WH1,3,15,Mechanical,2025-09-04
1118,B,WH2,4,69,None,2024-08-05
1119,C,WH4,2,2,Weather,2024-12-04
1120,B,WH3,2,22,Mechanical,2025-08-30
1121,B,WH1,3,110,Weather,2025-12-23
1122,C,WH1,9,120,Mechanical,2024-05-06
1123,H,WH3,3,77,None,2024-01-18
1124,H,WH1,10,1,None,2025-03-19
1125,E,WH2,2,42,Weather,2025-01-04
1126,G,WH2,7,28,None,2024-07-01
1127,D,WH2,6,46,Weather,2025-07-06
1128,E,WH3,6,48,Mechanical,2025-02-04
1129,A,WH4,7,35,Mechanical,2025-08-28
1130,G,WH4,6,56,Weather,2025-01-30
1131,E,WH4,3,95,Mechanical,2025-10-08
1132,B,WH3,3,38,Weather,2024-12-01
1133,E,WH2,2,94,None,2025-05-17
1134,C,WH2,9,102,Weather,2025-09-14
1135,C,WH3,6,61,None,2025-04-30
1136,F,WH4,5,16,Mechanical,2025-01-29
1137,E,WH4,10,25,Weather,2024-03-20
1138,G,WH2,2,26,Traffic,2024-05-05
1139,C,WH2,7,103,Weather,2024-02-14
1140,C,WH1,6,104,None,2024-03-03
1141,J,WH2,5,54,None,2024-09-19
1142,E,WH3,8,49,Traffic,2024-01-10
1143,G,WH2,3,51,Traffic,2025-11-30
1144,A,WH3,4,97,None,2025-07-28
1145,F,WH2,1,36,None,2025-05-21
1146,I,WH1,9,2,Traffic,2025-12-11
1147,E,WH3,9,73,None,2025-01-27
1148,E,WH4,2,101,Mechanical,2025-12-09
1149,B,WH3,8,66,Traffic,2025-12-06
1150,E,WH4,8,101,Mechanical,2024-09-20
1151,H,WH2,8,107,None,2024-01-13
1152,H,WH2,9,103,Mechanical,2025-12-22
1153,C,WH1,5,104,Traffic,2025-12-06
1154,I,WH1,7,99,Traffic,2025-11-01
1155,J,WH4,5,61,None,2024-10-29
1156,C,WH4,5,109,None,2024-08-30
1157,F,WH3,1,75,Weather,2024-10-12
1158,D,WH4,9,106,None,2025-04-17
1159,G,WH1,1,24,Traffic,2024-11-20
1160,A,WH4,5,30,Mechanical,2025-01-03
1161,F,WH3,8,76,Weather,2024-02-27
1162,A,WH4,5,14,None,2024-09-15
1163,I,WH2,4,34,Mechanical,2024-05-27
1164,J,WH4,5,67,Weather,2025-09-09
1165,H,WH2,5,9,None,2024-07-29
1166,A,WH1,1,49,Mechanical,2025-07-12
1167,I,WH1,9,65,None,2024-08-23
1168,D,WH3,7,50,Mechanical,2024-04-23
1169,C,WH1,2,89,None,2025-03-10
1170,D,WH1,8,20,Mechanical,2025-10-03
1171,I,WH4,10,74,None,2025-06-06
1172,H,WH2,8,13,Weather,2025-02-28
1173,B,WH2,4,1,None,2024-11-25
1174,F,WH3,4,106,Mechanical,2025-08-24
1175,B,WH2,2,14,Traffic,2024-02-23
1176,B,WH1,10,61,Mechanical,2024-08-19
1177,A,WH4,7,102,None,2024-10-10
1178,A,WH2,5,9,Traffic,2025-01-28
1179,H,WH4,5,8,Mechanical,2025-01-05
1180,E,WH1,9,13,Traffic,2025-06-11
1181,I,WH3,3,51,Mechanical,2025-05-16
1182,G,WH1,8,62,Traffic,2025-08-22
1183,F,WH1,4,46,Traffic,2024-01-13
1184,I,WH3,4,16,None,2024-05-05
1185,F,WH4,8,57,Traffic,2024-08-19
1186,A,WH3,7,55,Weather,2025-05-24
1187,H,WH3,7,65,Mechanical,2025-04-12
1188,G,WH3,5,25,Mechanical,2025-05-08
1189,E,WH1,6,38,Traffic,2024-10-24
1190,I,WH3,7,52,Traffic,2025-03-06
1191,H,WH2,6,64,Weather,2024-01-16
